date,temp_mean,city
2023-05-31,16.0,New York
2023-06-01,19.4,New York
2023-06-02,22.2,New York
2023-06-03,18.3,New York
2023-06-04,15.4,New York
2023-06-05,17.7,New York
2023-06-06,19.5,New York
2023-06-07,18.7,New York
2023-06-08,16.7,New York
2023-06-09,16.8,New York
2023-06-10,19.0,New York
2023-06-11,21.2,New York
2023-06-12,20.9,New York
2023-06-13,20.9,New York
2023-06-14,18.4,New York
2023-06-15,20.3,New York
2023-06-16,19.1,New York
2023-06-17,19.9,New York
2023-06-18,21.3,New York
2023-06-19,20.4,New York
2023-06-20,19.4,New York
2023-06-21,18.7,New York
2023-06-22,18.1,New York
2023-06-23,19.7,New York
2023-06-24,21.5,New York
2023-06-25,22.9,New York
2023-06-26,21.7,New York
2023-06-27,21.7,New York
2023-06-28,22.8,New York
2023-06-29,22.3,New York
2023-06-30,22.9,New York
2023-07-01,22.4,New York
2023-07-02,24.4,New York
2023-07-03,25.5,New York
2023-07-04,24.6,New York
2023-07-05,26.2,New York
2023-07-06,25.9,New York
2023-07-07,25.1,New York
2023-07-08,25.3,New York
2023-07-09,23.1,New York
2023-07-10,24.2,New York
2023-07-11,24.7,New York
2023-07-12,26.6,New York
2023-07-13,26.8,New York
2023-07-14,24.3,New York
2023-07-15,24.7,New York
2023-07-16,23.9,New York
2023-07-17,25.4,New York
2023-07-18,24.9,New York
2023-07-19,22.9,New York
2023-07-20,24.0,New York
2023-07-21,24.2,New York
2023-07-22,23.5,New York
2023-07-23,23.8,New York
2023-07-24,24.2,New York
2023-07-25,23.1,New York
2023-07-26,23.8,New York
2023-07-27,27.1,New York
2023-07-28,27.5,New York
2023-07-29,27.8,New York
2023-07-30,21.9,New York
2023-07-31,22.6,New York
2023-08-01,21.9,New York
2023-08-02,20.8,New York
2023-08-03,21.5,New York
2023-08-04,23.0,New York
2023-08-05,24.4,New York
2023-08-06,24.1,New York
2023-08-07,24.1,New York
2023-08-08,23.8,New York
2023-08-09,24.3,New York
2023-08-10,21.9,New York
2023-08-11,23.3,New York
2023-08-12,22.7,New York
2023-08-13,25.3,New York
2023-08-14,24.4,New York
2023-08-15,23.9,New York
2023-08-16,22.9,New York
2023-08-17,22.8,New York
2023-08-18,23.6,New York
2023-08-19,20.6,New York
2023-08-20,22.6,New York
2023-08-21,24.9,New York
2023-08-22,22.1,New York
2023-08-23,20.3,New York
2023-08-24,21.3,New York
2023-08-25,23.4,New York
2023-08-26,24.6,New York
2023-08-27,23.1,New York
2023-08-28,21.5,New York
2023-08-29,22.5,New York
2023-08-30,24.3,New York
2023-08-31,20.5,New York
2023-09-01,18.8,New York
2023-09-02,19.6,New York
2023-09-03,25.1,New York
2023-09-04,26.8,New York
2023-09-05,28.0,New York
2023-09-06,28.8,New York
2023-09-07,27.6,New York
2023-09-08,25.1,New York
2023-09-09,23.6,New York
2023-09-10,21.8,New York
2023-09-11,22.8,New York
2023-09-12,23.0,New York
2023-09-13,22.2,New York
2023-09-14,20.2,New York
2023-09-15,17.2,New York
2023-09-16,18.9,New York
2023-09-17,18.3,New York
2023-09-18,18.8,New York
2023-09-19,17.8,New York
2023-09-20,17.1,New York
2023-09-21,16.7,New York
2023-09-22,17.1,New York
